property,raw_target,raw_mlp_r2_test,raw_ridge_r2_test,raw_delta_test_mlp_minus_ridge,resid_target,resid_mlp_r2_test,resid_ridge_r2_test,resid_delta_test_mlp_minus_ridge,max_abs_spearman,step3_raw_ridge_r2_test,step3_resid_ridge_r2_test,mean_delta_test_mlp_minus_ridge,delta_resid_minus_raw,raw_delta_bucket,resid_delta_bucket,interpretation
AromaticRingCount,AromaticRingCount,0.9327406287193298,0.850289245097216,0.0824513836221138,resid_AromaticRingCount,0.8567507266998291,0.6576768615154955,0.19907386518433356,0.7032467178014472,0.850289245097216,0.6576768615154955,0.14076262440322368,0.11662248156221977,small,moderate,smooth_nonlinear_structure_linear_still_good_summary
FractionCSP3,FractionCSP3,0.9586308598518372,0.7861915772042835,0.1724392826475537,resid_FractionCSP3,0.929627537727356,0.7161423897043679,0.213485148022988,0.3797457316610352,0.7861915772042835,0.7161423897043679,0.19296221533527086,0.04104586537543431,moderate,moderate,smooth_nonlinear_structure_linear_still_good_summary
HBA,HBA,0.9053285717964172,0.7602155629413717,0.14511300885504552,resid_HBA,0.8336631655693054,0.5427455566567325,0.2909176089125729,0.5972170432481109,0.7602155629413717,0.5427455566567325,0.2180153088838092,0.14580460005752738,small,moderate,smooth_nonlinear_structure_linear_still_good_summary
cLogP,cLogP,0.889647364616394,0.6823806518549012,0.2072667127614929,resid_cLogP,0.8373310565948486,0.5791111291852775,0.2582199274095711,0.5705253804861335,0.6823806518549012,0.5791111291852775,0.232743320085532,0.05095321464807823,moderate,moderate,smooth_nonlinear_structure_linear_still_good_summary
TPSA,TPSA,0.9045663475990295,0.7007663198390472,0.2038000277599823,resid_TPSA,0.8419235944747925,0.5251158023585616,0.3168077921162309,0.5396708050874623,0.7007663198390472,0.5251158023585616,0.2603039099381066,0.1130077643562486,moderate,moderate,smooth_nonlinear_structure_linear_still_good_summary
QED,QED,0.6851829290390015,0.3455114998345507,0.33967142920445076,resid_QED,0.6397649049758911,0.2788508550321406,0.36091404994375054,0.2986914495783682,0.3455114998345507,0.2788508550321406,0.3502927395741007,0.021242620739299778,moderate,large,real_nonlinear_chemistry_beyond_linear_probe
NumSpiroAtoms,NumSpiroAtoms,0.43608373403549194,0.051280046832509,0.38480368720298297,resid_NumSpiroAtoms,0.4228556156158447,0.0358320349132473,0.3870235807025974,0.0850305946554144,0.051280046832509,0.0358320349132473,0.3859136339527902,0.0022198934996144337,large,large,real_nonlinear_chemistry_beyond_linear_probe
HBD,HBD,0.6437699794769287,0.2627469162380845,0.3810230632388442,resid_HBD,0.6259148120880127,0.2226241910891507,0.403290620998862,0.2132317170410927,0.2627469162380845,0.2226241910891507,0.3921568421188531,0.022267557760017764,large,large,real_nonlinear_chemistry_beyond_linear_probe
NumBridgeheadAtoms,NumBridgeheadAtoms,0.6798491477966309,0.0816258353713842,0.5982233124252466,resid_NumBridgeheadAtoms,0.6556487083435059,0.0489906335113986,0.6066580748321072,0.0869526266512537,0.0816258353713842,0.0489906335113986,0.6024406936286769,0.008434762406860585,large,large,real_nonlinear_chemistry_beyond_linear_probe
